Reference,Value,Manufacturer_Part_Number,Mouser Part Number,Qty
"C1, C9",10nF,C0603C103J5RACAUTO,80-C0603C103J5RAUTO,2
C2,2.2μF,GRM188R61E225KA2J,81-GRM188R61E225KA2J,1
C3,82pF,CC0603FRNPO0BN820,603-CC0603FRNP0BN820,1
C4,100nF,CL10B104JB8NNNC,187-CL10B104JB8NNNC,1
"C5, C6",22µF,CL21A226MAYNNNE,187-CL21A226MAYNNNE,2
"C7, C8",4.7µF,C1608X5R1E475K080AC,810-C1608X5R1E475K,2
D1,150060BS75000,150060BS75000,710-150060BS75000,1
D2,150060RS75000,150060RS75000,710-150060RS75000,1
D3,BAS321J,BAS321JX,771-BAS321JX,1
D4,SR54F-AU_R2_000A1,SR54F-AU_R2_000A1,241-SR54F-AUR1000A1,1
D5,SD103AW-TP,SD103AW-TP,833-SD103AW-TP,1
D6,150060GS75000,150060GS75000,710-150060GS75000,1
D7-D9,150060YS75000,150060YS75000,710-150060YS75000,3
D10,PTVS26VS1UR-QX,PTVS26VS1UR-QX,821-SMF4L26AH,1
F1,2.5A,ERB-RE2R50V,667-ERB-RE2R50V,1
"H1-H4, J1-J11, J13-J28, TP1-TP5",-- mixed values --,-- mixed values --,,36
IC1,LV2862YDDCR,LV2862YDDCR,595-LV2862YDDCR,1
IC2,RT6285GSP,RT6285GSP,835-RT6285GSP,1
J12,Conn_01x08_Pin,172298-1108,538-172298-1108,1
L1,10µH,MPL-AL6060-100,946-MPL-AL6060-100,1
L2,33μH,SRN3012BTA-330M,652-SRN3012BTA-330M,1
"R1, R2, R8-R10",1kΩ,RT0603DRD071KL,603-RT0603DRD071KL,5
"R3, R11",100kΩ,RT0603DRE07100KL,603-RT0603DRE07100KL,2
R4,6.8kΩ,RT0603DRE076K8L,603-RT0603DRE076K8L,1
R5,56kΩ,RT0603DRD0756KL,603-RT0603DRD0756KL,1
R6,10kΩ,RT0603DRE0710KL,603-RT0603DRE0710KL,1
R7,250Ω,MCT06030E2500BP100,594-MCT06030E2500BP1,1
